Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,ycsb-3,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-kubeadm-NodePort_NET-ens3-ycsb-3.csv --noheaders --noupdate 5,,,,Date:,27 Sep 2017 11:19:17 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506511155,27/09/2018 11:19,0.733,0.217,98.981,0.063,0,0.006,63774.221,3087.535,0,0,0,0,225.813,332.783
1506511160,27/09/2018 11:19,1.35,0.2,98.4,0.05,0,0,1638.4,7372.8,1035.8,417.2,0,0,346.6,600.8
1506511165,27/09/2018 11:19,0.05,0,99.95,0,0,0,0,12288,14.8,18,0,0,25.6,27.2
1506511170,27/09/2018 11:19,1.253,0.351,98.346,0,0,0.05,3276.8,9830.4,1239,530,0,0,442.4,661
1506511175,27/09/2018 11:19,0.05,0,99.9,0.05,0,0,0,15564.8,48.6,0,0,0,22.6,27.6
1506511180,27/09/2018 11:19,1.302,0.3,98.348,0.05,0,0,0,8192,965.4,315.6,0,0,391.2,602
1506511185,27/09/2018 11:19,0.05,0,99.9,0.05,0,0,0,6553.6,0,0,0,0,23.2,28
1506511190,27/09/2018 11:19,1.353,0.2,98.397,0.05,0,0,0,5734.4,980.2,345.6,0,0,409.4,621.2
1506511195,27/09/2018 11:19,0,0,100,0,0,0,0,6553.6,0,0,0,0,23.6,28.6
1506511200,27/09/2018 11:19,1.202,0.25,98.498,0.05,0,0,819.2,5734.4,998.2,345.6,0,0,374,646
1506511205,27/09/2018 11:20,0.05,0,99.9,0.05,0,0,0,23756.8,90.6,44.4,0,0,27.4,31.6
1506511210,27/09/2018 11:20,1.353,0.351,98.246,0.05,0,0,0,3276.8,965.4,321.6,0,0,367,611
1506511215,27/09/2018 11:20,0,0.05,99.9,0.05,0,0,0,4096,0,0,0,0,25.8,28.8
1506511220,27/09/2018 11:20,1.052,0.1,98.848,0,0,0,0,7372.8,14.8,10.8,0,0,263.2,455
1506511225,27/09/2018 11:20,0.4,0.2,99.35,0.05,0,0,0,10649.6,952.2,313.2,0,0,171.6,183.2
1506511230,27/09/2018 11:20,0,0.05,99.9,0.05,0,0,0,5734.4,14.8,10.8,0,0,37,42.8
1506511235,27/09/2018 11:20,1.252,0.25,98.448,0,0,0.05,0,3276.8,1012.8,324,0,0,390.6,619.6
1506511240,27/09/2018 11:20,0,0,99.95,0.05,0,0,0,9011.2,0,0,0,0,21.2,23.6
1506511245,27/09/2018 11:20,1.401,0.35,98.199,0.05,0,0,0,3276.8,952.2,310.8,0,0,428.2,621.8
1506511250,27/09/2018 11:20,0.05,0,99.95,0,0,0,0,4096,0,0,0,0,23.6,29.2
1506511255,27/09/2018 11:20,2.158,0.702,97.09,0.05,0,0,0,8192,2010.8,1222.6,0,0,510.8,759.8
1506511260,27/09/2018 11:20,0.1,0.15,99.7,0.05,0,0,2457.6,19660.8,636.4,464.4,0,0,76.4,88.6
1506511265,27/09/2018 11:21,1.653,0.2,97.695,0.451,0,0,173670.4,12288,1803.2,1499.6,0,0,481,695.6
1506511270,27/09/2018 11:21,0.1,0.05,99.8,0.05,0,0,0,13107.2,963.6,1118.8,0,0,60.2,90.4
