"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","native-cassandra-2",,,,"User:","ubuntu"
"Cmdline:","dstat -T -t -cp -mgs --vm -r -d -D total --fs --lock -n --socket --ipc -y --noheaders --output 2-cassandra-native-VMIP-native-cassandra-2.csv --noupdate 5",,,,"Date:","29 Sep 2017 16:27:46 UTC"

"epoch","system","total cpu usage",,,,,,"procs",,,"memory usage",,,,"paging",,"swap",,"virtual memory",,,,"io/total",,"dsk/total",,"filesystem",,"file locks",,,,"net/total",,"sockets",,,,,"sysv ipc",,,"system",
"epoch","time","usr","sys","idl","wai","hiq","siq","run","blk","new","used","buff","cach","free","in","out","used","free","majpf","minpf","alloc","free","read","writ","read","writ","files","inodes","pos","lck","rea","wri","recv","send","tot","tcp","udp","raw","frg","msg","sem","shm","int","csw"
1506702466.354,29-09 16:27:46,4.931,1.472,92.692,0.868,0.0,0.037,0.0,0.0,9.233,1501790208.0,14233600.0,133300224.0,2494197760.0,0.0,0.0,0.0,0.0,2.728,1150.413,3399.565,5451.753,22.320,2.567,483758.682,32244.255,736.0,16469.0,4.0,1.0,0.0,5.0,0.0,0.0,125.0,12.0,4.0,0.0,0.0,0.0,1.0,3.0,295.786,509.843
1506702471.354,29-09 16:27:51,1.703,0.200,98.096,0.0,0.0,0.0,0.0,0.0,0.200,1499144192.0,14245888.0,133341184.0,2496790528.0,0.0,0.0,0.0,0.0,0.0,53.400,25.600,215.0,0.0,4.600,0.0,49152.0,736.0,16433.0,4.0,1.0,0.0,5.0,1060.200,1009.0,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,222.600,409.200
1506702476.358,29-09 16:27:56,0.900,0.200,98.900,0.0,0.0,0.0,0.0,0.0,0.0,1498972160.0,14245888.0,133341184.0,2496962560.0,0.0,0.0,0.0,0.0,0.0,0.0,11.600,17.800,0.0,0.0,0.0,0.0,736.0,16424.0,4.0,1.0,0.0,5.0,787.200,732.600,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,207.400,379.0
1506702481.354,29-09 16:28:01,1.199,0.200,98.501,0.100,0.0,0.0,0.0,0.0,1.0,1498898432.0,14254080.0,133341184.0,2497028096.0,0.0,0.0,0.0,0.0,0.0,70.800,55.600,58.400,0.0,0.400,0.0,2457.600,736.0,16424.0,4.0,1.0,0.0,5.0,873.0,754.0,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,209.800,381.800
1506702486.358,29-09 16:28:06,0.802,0.200,98.998,0.0,0.0,0.0,0.0,0.0,0.0,1498865664.0,14254080.0,133341184.0,2497060864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.600,0.0,0.0,0.0,0.0,736.0,16424.0,4.0,1.0,0.0,5.0,765.400,668.800,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,198.400,369.600
1506702491.358,29-09 16:28:11,1.001,0.200,98.699,0.100,0.0,0.0,0.0,0.0,0.0,1498488832.0,14262272.0,133341184.0,2497429504.0,0.0,0.0,0.0,0.0,0.0,0.800,1.0,19.200,0.0,0.800,0.0,8192.0,736.0,16424.0,4.0,1.0,0.0,5.0,823.800,823.200,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,200.400,372.600
1506702496.358,29-09 16:28:16,1.297,0.100,98.503,0.100,0.0,0.0,0.0,0.0,0.0,1498611712.0,14270464.0,133341184.0,2497298432.0,0.0,0.0,0.0,0.0,0.0,0.200,10.0,3.200,0.0,0.800,0.0,8192.0,736.0,16424.0,4.0,1.0,0.0,5.0,641.800,600.400,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,196.600,378.200
1506702501.354,29-09 16:28:21,0.901,0.200,98.899,0.0,0.0,0.0,0.0,0.0,0.0,1498533888.0,14274560.0,133349376.0,2497363968.0,0.0,0.0,0.0,0.0,0.0,0.200,0.800,3.200,0.200,0.800,819.200,3276.800,736.0,16424.0,4.0,1.0,0.0,5.0,715.400,642.0,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,193.800,352.400
1506702506.358,29-09 16:28:26,1.097,0.299,98.504,0.100,0.0,0.0,0.0,0.0,0.0,1498492928.0,14282752.0,133349376.0,2497396736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.400,1.600,0.0,0.600,0.0,7372.800,736.0,16424.0,4.0,1.0,0.0,5.0,717.800,742.0,120.0,11.0,4.0,0.0,0.0,0.0,1.0,3.0,197.600,355.200
