Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,ycsb-3,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-kubeadm-ContainerIP_NET-ens3-ycsb-3.csv --noheaders --noupdate 5,,,,Date:,25 Sep 2017 15:20:14 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506352660,25/09/2018 15:17,2.191,1.024,96.428,0.303,0,0.054,221773.972,2106820.802,0,0,0,0,1230.356,2215.159
1506352665,25/09/2018 15:17,1.057,0.806,98.087,0.05,0,0,1638.4,7372.8,2450.4,764.8,0,0,762.6,1457.6
1506352670,25/09/2018 15:17,0.906,0.806,98.288,0,0,0,0,0,2858.2,2015.2,0,0,750,1433.2
1506352675,25/09/2018 15:17,0.554,0.403,98.992,0.05,0,0,0,9011.2,1919.6,414.6,0,0,639.6,1253
1506352680,25/09/2018 15:17,0.605,0.504,98.84,0.05,0,0,0,3276.8,1868.8,2228.4,0,0,663.4,1299.2
1506352685,25/09/2018 15:18,0.757,0.353,98.839,0,0,0.05,0,4915.2,1920.4,375.4,0,0,679,1348.2
1506352690,25/09/2018 15:18,0.754,0.754,98.391,0.05,0,0.05,0,3276.8,2265.4,1329,0,0,699.8,1390.8
1506352695,25/09/2018 15:18,0.857,0.252,98.841,0.05,0,0,0,5734.4,2830.8,518.2,0,0,662.6,1331.4
1506352700,25/09/2018 15:18,0.855,0.453,98.692,0,0,0,0,5734.4,1782.6,1285.2,0,0,636.4,1286.6
1506352705,25/09/2018 15:18,0.705,0.353,98.892,0.05,0,0,0,4096,1925.6,406.6,0,0,565.8,1157.2
1506352710,25/09/2018 15:18,0.755,0.604,98.541,0.101,0,0,0,7372.8,2140.8,2400,0,0,672.6,1302.6
1506352715,25/09/2018 15:18,0.606,0.353,98.99,0.05,0,0,819.2,5734.4,2767.6,963,0,0,653.2,1303.2
1506352720,25/09/2018 15:18,1.262,0.454,98.082,0.151,0,0.05,138444.8,9011.2,2522.2,1940.8,0,0,756,1415.8
1506352725,25/09/2018 15:18,1.208,0.957,97.633,0.151,0,0.05,13107.2,6553.6,2389.2,647.8,0,0,841,1579.8
1506352730,25/09/2018 15:18,0.805,0.805,98.339,0.05,0,0,0,33587.2,2405.6,1487.6,0,0,751,1472
1506352735,25/09/2018 15:18,0.805,0.503,98.641,0.05,0,0,8192,4915.2,2125.4,609.8,0,0,681.6,1346.6
1506352740,25/09/2018 15:18,0.756,0.655,98.539,0.05,0,0,0,7372.8,2432.6,3142.8,0,0,704.6,1415.4
1506352745,25/09/2018 15:19,0.655,0.453,98.842,0.05,0,0,0,41779.2,2347.6,392.8,0,0,676.8,1326
1506352750,25/09/2018 15:19,0.756,0.656,98.588,0,0,0,0,3276.8,1839,1298.4,0,0,711.4,1403
1506352755,25/09/2018 15:19,0.604,0.252,99.094,0.05,0,0,0,4915.2,2057.4,375.4,0,0,554.6,1157.2
1506352760,25/09/2018 15:19,0.755,0.503,98.642,0.05,0,0.05,0,3276.8,1922,1311.6,0,0,638.4,1274.6
1506352765,25/09/2018 15:19,0.654,0.252,98.994,0.05,0,0.05,0,6553.6,2565.6,519.8,0,0,590.4,1198.2
1506352770,25/09/2018 15:19,0.806,0.554,98.639,0,0,0,0,11468.8,51507.6,50507,0,0,706.4,1389.4
1506352775,25/09/2018 15:19,0.604,0.302,99.044,0.05,0,0,0,7372.8,2326.4,629.6,0,0,580,1184
1506352780,25/09/2018 15:19,2.218,1.21,96.472,0.101,0,0,22118.4,8192,3133.4,2880,0,0,818.2,1491.6
1506352785,25/09/2018 15:19,1.111,0.909,97.981,0,0,0,0,17203.2,2278.6,522.6,0,0,745.8,1422.8
1506352790,25/09/2018 15:19,0.856,0.705,98.389,0.05,0,0,0,4096,3150.2,2606,0,0,694,1338.8
1506352795,25/09/2018 15:19,0.854,0.854,98.192,0.05,0,0.05,0,11468.8,3280.6,2299.4,0,0,653.4,1284.4
1506352800,25/09/2018 15:19,0.604,0.554,98.842,0,0,0,26214.4,2457.6,2365.4,2687.6,0,0,697.4,1373
1506352805,25/09/2018 15:20,1.612,0.705,97.632,0,0,0.05,0,9830.4,2410.8,672.2,0,0,743.6,1423.4
1506352810,25/09/2018 15:20,0.454,0.656,98.84,0.05,0,0,0,11468.8,3217.2,1941.4,0,0,730.6,1417.6
1506352815,25/09/2018 15:20,2.569,0.756,96.625,0.05,0,0,0,20480,2633.2,634.2,0,0,758.4,1454.4
1506352820,25/09/2018 15:20,8.413,0.756,90.68,0.101,0,0.05,0,42598.4,2461.4,1741.2,0,0,962.4,1767.2
1506352825,25/09/2018 15:20,0.856,0.605,98.539,0,0,0,0,10649.6,4006.4,1823.8,0,0,655.2,1324.4
1506352830,25/09/2018 15:20,0.655,0.453,98.842,0.05,0,0,0,12288,2628.2,3310,0,0,742.8,1463
1506352835,25/09/2018 15:20,0.704,0.503,98.742,0.05,0,0,0,10649.6,1811,349,0,0,630.6,1261.8
1506352840,25/09/2018 15:20,1.31,0.554,98.136,0,0,0,0,4096,2560.6,7930.8,0,0,766.2,1504.4
1506352845,25/09/2018 15:20,1.362,1.21,96.319,1.059,0,0.05,2028339.2,4096,2991.2,1959.8,0,0,962.2,1790.2
1506352850,25/09/2018 15:20,0.402,0.604,98.944,0.05,0,0,0,20480,2406.8,1702.4,0,0,616.4,1227
1506352855,25/09/2018 15:20,1.31,0.907,97.631,0.101,0,0.05,44236.8,4915.2,2731.8,649.6,0,0,961.4,1795.2
1506352860,25/09/2018 15:20,1.058,0.353,98.589,0,0,0,0,4096,1860.2,2250.8,0,0,718.2,1419.6
1506352865,25/09/2018 15:21,0.857,0.403,98.69,0.05,0,0,0,4096,2107.6,425,0,0,639.6,1259.4
1506352870,25/09/2018 15:21,0.655,0.453,98.792,0.05,0,0.05,0,6553.6,1747.6,1348.8,0,0,789.2,1559.6
1506352875,25/09/2018 15:21,0.909,0.606,98.485,0,0,0,0,6553.6,2683,570.2,0,0,923.8,1864.2
1506352880,25/09/2018 15:21,0.657,0.455,98.888,0,0,0,0,0,2187.8,1643.2,0,0,1147.2,2344
1506352885,25/09/2018 15:21,1.009,0.555,98.385,0.05,0,0,819.2,9011.2,2447.2,695,0,0,1098.4,2195.4
1506352890,25/09/2018 15:21,0.655,0.454,98.74,0.05,0,0.101,1638.4,41779.2,2705.8,2929.8,0,0,1013.6,2075.8
1506352895,25/09/2018 15:21,0.906,0.403,98.64,0.05,0,0,0,9830.4,2010.2,465,0,0,631.4,1267.4
1506352900,25/09/2018 15:21,0.555,0.706,98.739,0,0,0,0,0,2070.4,1591.6,0,0,1077.2,2151
1506352905,25/09/2018 15:21,1.163,1.062,97.724,0.051,0,0,0,3276.8,2214.4,503,0,0,1001,1935
1506352910,25/09/2018 15:21,0.759,0.91,98.331,0,0,0,0,4096,2643.8,2096.8,0,0,1814.8,3648.8
1506352915,25/09/2018 15:21,1.062,0.607,98.281,0.051,0,0,0,13926.4,3365.4,951.4,0,0,1335.2,2646.8
1506352920,25/09/2018 15:21,0.605,0.454,98.891,0.05,0,0,0,10649.6,2009.6,2405.6,0,0,846.4,1676.4
1506352925,25/09/2018 15:22,0.907,0.605,98.388,0.05,0,0.05,0,22118.4,2278.4,398.2,0,0,650.4,1283.8
1506352930,25/09/2018 15:22,0.453,0.554,98.942,0,0,0.05,0,7372.8,1644.4,1293.6,0,0,664.2,1304.4
1506352935,25/09/2018 15:22,0.957,0.453,98.539,0.05,0,0,0,3276.8,1982.8,353.8,0,0,660,1301.2
1506352940,25/09/2018 15:22,0.553,0.201,99.195,0.05,0,0,0,4096,2118.8,1320,0,0,603.4,1216.2
1506352945,25/09/2018 15:22,1.061,0.556,98.383,0,0,0,0,3276.8,2901.6,647.6,0,0,1002.4,1984.4
1506352950,25/09/2018 15:22,0.555,0.555,98.84,0.05,0,0,0,4096,2160,2457.6,0,0,1104.6,2175.6
1506352955,25/09/2018 15:22,1.521,0.811,97.617,0.051,0,0,0,3276.8,3167.8,1302.2,0,0,2035.2,4019.4
1506352960,25/09/2018 15:22,1.215,0.709,98.025,0.051,0,0,0,12288,2585.2,1874,0,0,1652.4,3288
