"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ycsb-3",,,,"User:","ubuntu"
"Cmdline:","dstat -T -t -cp -mgs --vm -r -d -D total --fs --lock -n --socket --ipc -y --noheaders --output 2-cassandra-kubeadm-ServiceIP-ycsb-3.csv --noupdate 5",,,,"Date:","26 Sep 2017 20:30:17 UTC"

"epoch","system","total cpu usage",,,,,,"procs",,,"memory usage",,,,"paging",,"swap",,"virtual memory",,,,"io/total",,"dsk/total",,"filesystem",,"file locks",,,,"net/total",,"sockets",,,,,"sysv ipc",,,"system",
"epoch","time","usr","sys","idl","wai","hiq","siq","run","blk","new","used","buff","cach","free","in","out","used","free","majpf","minpf","alloc","free","read","writ","read","writ","files","inodes","pos","lck","rea","wri","recv","send","tot","tcp","udp","raw","frg","msg","sem","shm","int","csw"
1506457817.743,26-09 20:30:17,1.108,0.657,98.096,0.041,0.0,0.097,0.0,0.0,1.169,471658496.0,98091008.0,2090754048.0,5710598144.0,0.0,0.0,0.0,0.0,0.074,311.875,1522.488,1566.781,0.388,0.839,11994.024,102898.326,1152.0,72292.0,4.0,3.0,1.0,7.0,0.0,0.0,198.0,13.0,7.0,4.0,0.0,0.0,1.0,3.0,826.356,1615.600
1506457822.749,26-09 20:30:22,1.206,1.055,97.688,0.050,0.0,0.0,0.0,0.0,2.800,475033600.0,98099200.0,2090758144.0,5707210752.0,0.0,0.0,0.0,0.0,0.0,792.200,3081.800,2978.400,0.0,0.400,0.0,26214.400,1184.0,72298.0,4.0,3.0,1.0,7.0,3529.0,1228.200,198.0,13.0,7.0,4.0,0.0,0.0,1.0,3.0,831.600,1593.400
1506457827.749,26-09 20:30:27,0.656,0.252,99.092,0.0,0.0,0.0,0.0,0.0,0.0,472829952.0,98107392.0,2090758144.0,5709406208.0,0.0,0.0,0.0,0.0,0.0,113.800,8.400,114.800,0.0,7.200,0.0,40960.0,1184.0,72298.0,4.0,3.0,1.0,7.0,3040.0,2746.0,198.0,13.0,7.0,4.0,0.0,0.0,1.0,3.0,674.600,1335.200
1506457832.745,26-09 20:30:32,1.009,0.504,98.386,0.050,0.0,0.050,0.0,0.0,0.0,472887296.0,98115584.0,2090758144.0,5709340672.0,0.0,0.0,0.0,0.0,0.0,137.600,26.800,22.600,0.0,0.600,0.0,5734.400,1184.0,72292.0,4.0,3.0,1.0,7.0,4005.800,2918.0,198.0,13.0,7.0,4.0,0.0,0.0,1.0,3.0,746.200,1451.0
1506457837.749,26-09 20:30:37,1.357,1.106,97.487,0.050,0.0,0.0,0.0,0.0,1.800,475004928.0,98119680.0,2090754048.0,5707223040.0,0.0,0.0,0.0,0.0,0.0,940.600,1018.400,969.400,0.0,5.800,0.0,48332.800,1120.0,72252.0,4.0,3.0,1.0,7.0,2721.600,2495.200,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,806.800,1540.200
1506457842.745,26-09 20:30:42,0.856,0.605,98.539,0.0,0.0,0.0,0.800,0.0,0.0,474800128.0,98123776.0,2090754048.0,5707423744.0,0.0,0.0,0.0,0.0,0.0,232.600,14.600,16.800,0.0,1.600,0.0,12288.0,1120.0,72254.0,4.0,3.0,1.0,7.0,2585.0,963.800,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,677.400,1342.0
1506457847.749,26-09 20:30:47,0.856,0.302,98.742,0.050,0.0,0.050,0.0,0.0,0.0,474763264.0,98131968.0,2090749952.0,5707456512.0,0.0,0.0,0.0,0.0,0.0,17.800,10.200,11.400,0.0,2.0,0.0,11468.800,1120.0,72254.0,4.0,3.0,1.0,7.0,3356.200,1950.0,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,676.200,1358.400
1506457852.745,26-09 20:30:52,1.008,0.756,98.185,0.050,0.0,0.0,0.0,0.0,2.200,481464320.0,98131968.0,2090758144.0,5700747264.0,0.0,0.0,0.0,0.0,0.0,473.0,1958.400,1642.400,0.0,1.400,0.0,9830.400,1120.0,72262.0,4.0,3.0,1.0,7.0,2604.200,995.0,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,751.800,1462.0
1506457857.749,26-09 20:30:57,0.604,0.504,98.842,0.050,0.0,0.0,0.0,0.0,1.200,478601216.0,98136064.0,2090758144.0,5703606272.0,0.0,0.0,0.0,0.0,0.0,327.800,4309.200,4412.800,0.0,1.400,0.0,12288.0,1152.0,72262.0,4.0,3.0,1.0,7.0,2154.400,1792.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,650.800,1256.400
1506457862.749,26-09 20:31:02,1.058,0.605,98.286,0.050,0.0,0.0,0.0,0.0,2.200,486539264.0,98140160.0,2090758144.0,5695664128.0,0.0,0.0,0.0,0.0,0.0,618.400,1615.200,1209.600,0.0,2.0,0.0,12288.0,1152.0,72254.0,4.0,3.0,1.0,7.0,2719.800,1824.800,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,695.200,1346.200
1506457867.749,26-09 20:31:07,1.007,0.302,98.691,0.0,0.0,0.0,0.0,0.0,0.0,486535168.0,98148352.0,2090754048.0,5695664128.0,0.0,0.0,0.0,0.0,0.0,68.400,7.800,7.400,0.0,1.400,0.0,9011.200,1152.0,72258.0,4.0,3.0,1.0,7.0,2154.400,1792.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,600.200,1197.800
1506457872.749,26-09 20:31:12,1.159,0.605,98.237,0.0,0.0,0.0,0.0,0.0,1.200,488050688.0,98148352.0,2090762240.0,5694140416.0,0.0,0.0,0.0,0.0,0.0,568.0,1543.200,1445.800,0.0,0.0,0.0,0.0,1120.0,72260.0,4.0,3.0,1.0,7.0,2646.200,1018.800,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,734.200,1437.0
1506457877.749,26-09 20:31:17,2.419,1.058,96.472,0.050,0.0,0.0,0.0,0.0,10.600,477827072.0,98152448.0,2090799104.0,5704323072.0,0.0,0.0,0.0,0.0,0.0,2535.600,2872.0,3394.400,0.0,2.200,0.0,13107.200,1184.0,72316.0,4.0,3.0,1.0,7.0,4296.800,3079.200,198.0,13.0,7.0,4.0,0.0,0.0,1.0,3.0,794.0,1444.0
1506457882.749,26-09 20:31:22,1.156,1.307,97.387,0.050,0.0,0.101,0.0,0.0,4.200,474689536.0,98160640.0,2090766336.0,5707485184.0,0.0,0.0,0.0,0.0,0.0,960.200,3173.400,3363.0,0.0,0.800,0.0,42598.400,1120.0,72254.0,4.0,3.0,1.0,7.0,3434.800,1291.200,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,802.800,1513.600
1506457887.749,26-09 20:31:27,1.159,0.252,98.539,0.050,0.0,0.0,0.0,0.0,0.0,474648576.0,98168832.0,2090766336.0,5707517952.0,0.0,0.0,0.0,0.0,0.0,122.200,8.0,9.200,0.0,7.800,0.0,37683.200,1120.0,72252.0,4.0,3.0,1.0,7.0,2154.400,1792.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,588.400,1191.0
1506457892.749,26-09 20:31:32,0.856,0.554,98.540,0.050,0.0,0.0,0.0,0.0,0.0,474742784.0,98172928.0,2090766336.0,5707419648.0,0.0,0.0,0.0,0.0,0.0,83.0,31.600,28.800,0.0,0.400,0.0,4915.200,1120.0,72258.0,4.0,3.0,1.0,7.0,15019.0,13865.200,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,705.200,1383.400
1506457897.745,26-09 20:31:37,0.808,0.505,98.688,0.0,0.0,0.0,0.0,0.0,0.600,476323840.0,98177024.0,2090766336.0,5705834496.0,0.0,0.0,0.0,0.0,0.0,120.0,516.200,415.200,0.0,0.400,0.0,4096.0,1120.0,72253.0,4.0,3.0,1.0,7.0,2154.400,1792.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,692.400,1363.800
1506457902.749,26-09 20:31:42,1.260,0.907,97.782,0.0,0.0,0.050,0.0,0.0,4.600,478670848.0,98185216.0,2090795008.0,5703450624.0,0.0,0.0,0.0,0.0,0.0,1200.200,3804.800,3702.200,0.0,0.400,0.0,5734.400,1152.0,72258.0,4.0,3.0,1.0,7.0,5959.200,1187.600,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,891.600,1694.800
1506457907.749,26-09 20:31:47,1.160,0.706,97.983,0.151,0.0,0.0,0.0,0.0,2.600,474284032.0,98189312.0,2090840064.0,5707788288.0,0.0,0.0,0.0,0.0,0.0,606.400,2118.600,2291.800,0.0,2.400,0.0,10649.600,1152.0,72264.0,4.0,3.0,1.0,7.0,8372.600,2155.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,939.800,1835.0
1506457912.749,26-09 20:31:52,1.056,0.654,98.291,0.0,0.0,0.0,0.0,0.0,0.0,474599424.0,98197504.0,2090840064.0,5707464704.0,0.0,0.0,0.0,0.0,0.0,22.0,27.800,17.800,0.0,0.400,0.0,4915.200,1120.0,72256.0,4.0,3.0,1.0,7.0,3759.600,1088.0,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,703.600,1405.800
1506457917.749,26-09 20:31:57,0.757,0.555,98.688,0.0,0.0,0.0,0.0,0.0,1.200,474677248.0,98201600.0,2090852352.0,5707370496.0,0.0,0.0,0.0,0.0,0.0,433.400,3803.0,3800.800,0.0,1.800,0.0,10649.600,1120.0,72254.0,4.0,3.0,1.0,7.0,3679.0,1854.0,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,731.200,1403.0
1506457922.749,26-09 20:32:02,1.009,1.059,97.882,0.050,0.0,0.0,0.400,0.0,4.600,477339648.0,98209792.0,2090885120.0,5704667136.0,0.0,0.0,0.0,0.0,0.0,1048.400,3568.200,3444.600,0.0,2.200,0.0,36864.0,1152.0,72264.0,4.0,3.0,1.0,7.0,7160.400,2094.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,992.600,1900.800
1506457927.749,26-09 20:32:07,1.008,0.907,98.034,0.0,0.0,0.050,0.0,0.0,4.800,475721728.0,98213888.0,2090921984.0,5706244096.0,0.0,0.0,0.0,0.0,0.0,1125.400,4369.800,4431.400,0.0,0.400,0.0,5734.400,1120.0,72254.0,4.0,3.0,1.0,7.0,6094.800,2041.400,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,925.800,1795.600
1506457932.749,26-09 20:32:12,0.959,0.706,98.285,0.050,0.0,0.0,0.0,0.0,1.200,480120832.0,98217984.0,2090934272.0,5701828608.0,0.0,0.0,0.0,0.0,0.0,566.600,1442.0,1236.0,0.0,0.400,0.0,5734.400,1088.0,72254.0,4.0,3.0,1.0,7.0,2802.600,974.600,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,818.200,1608.800
1506457937.749,26-09 20:32:17,0.905,0.402,98.441,0.201,0.0,0.050,0.0,0.0,0.600,478208000.0,98222080.0,2090934272.0,5703737344.0,0.0,0.0,0.0,0.0,0.0,240.200,1133.400,1236.800,0.0,6.400,0.0,20480.0,1088.0,72258.0,4.0,3.0,1.0,7.0,3790.0,2089.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,752.200,1491.800
1506457942.749,26-09 20:32:22,0.857,0.655,98.387,0.050,0.0,0.050,0.0,0.0,0.600,481861632.0,98222080.0,2090934272.0,5700083712.0,0.0,0.0,0.0,0.0,0.0,376.0,1035.200,832.200,0.0,0.400,0.0,4915.200,1120.0,72254.0,4.0,3.0,1.0,7.0,3002.800,938.0,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,714.200,1408.0
1506457947.745,26-09 20:32:27,0.706,0.252,99.041,0.0,0.0,0.0,0.0,0.0,0.0,481820672.0,98226176.0,2090938368.0,5700116480.0,0.0,0.0,0.0,0.0,0.0,101.800,8.0,9.200,0.0,0.400,0.0,4096.0,1120.0,72262.0,4.0,3.0,1.0,7.0,2438.0,1792.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,619.600,1276.800
1506457952.749,26-09 20:32:32,0.906,0.453,98.590,0.050,0.0,0.0,0.0,0.0,0.0,481976320.0,98234368.0,2090938368.0,5699952640.0,0.0,0.0,0.0,0.0,0.0,151.200,25.200,17.600,0.0,0.600,0.0,15564.800,1120.0,72256.0,4.0,3.0,1.0,7.0,2506.800,1767.200,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,677.0,1327.800
1506457957.745,26-09 20:32:37,0.858,0.808,98.334,0.0,0.0,0.0,0.0,0.0,2.800,476483584.0,98242560.0,2090938368.0,5705437184.0,0.0,0.0,0.0,0.0,0.0,550.0,2555.600,2863.400,0.0,2.400,0.0,24576.0,1152.0,72256.0,4.0,3.0,1.0,7.0,2388.0,1806.0,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,713.400,1370.600
1506457962.749,26-09 20:32:42,0.704,0.603,98.643,0.050,0.0,0.0,0.0,0.0,0.0,476114944.0,98246656.0,2090938368.0,5705801728.0,0.0,0.0,0.0,0.0,0.0,209.200,16.400,17.800,0.0,0.600,0.0,9011.200,1152.0,72260.0,4.0,3.0,1.0,7.0,2367.400,889.400,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,658.800,1311.200
1506457967.748,26-09 20:32:47,0.806,0.353,98.841,0.0,0.0,0.0,0.0,0.0,0.0,476073984.0,98254848.0,2090938368.0,5705834496.0,0.0,0.0,0.0,0.0,0.0,91.400,9.800,11.0,0.0,0.400,0.0,4096.0,1152.0,72260.0,4.0,3.0,1.0,7.0,3732.600,1954.200,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,693.200,1413.400
1506457972.749,26-09 20:32:52,1.109,0.454,98.438,0.0,0.0,0.0,0.0,0.0,0.0,476168192.0,98254848.0,2090938368.0,5705740288.0,0.0,0.0,0.0,0.0,0.0,18.0,16.200,17.800,0.0,0.400,0.0,4915.200,1152.0,72254.0,4.0,3.0,1.0,7.0,2357.400,902.600,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,676.0,1334.200
1506457977.749,26-09 20:32:57,0.553,0.704,98.642,0.050,0.0,0.050,0.0,0.0,1.200,477630464.0,98254848.0,2090938368.0,5704278016.0,0.0,0.0,0.0,0.0,0.0,314.200,2562.200,2461.400,0.0,0.400,0.0,4096.0,1152.0,72258.0,4.0,3.0,1.0,7.0,3586.200,1907.400,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,687.0,1353.800
1506457982.749,26-09 20:33:02,0.906,1.007,98.037,0.050,0.0,0.0,0.0,0.0,2.200,495583232.0,98258944.0,2090938368.0,5686321152.0,0.0,0.0,0.0,0.0,0.0,617.600,3774.600,2947.600,0.0,0.400,0.0,4915.200,1088.0,72262.0,4.0,3.0,1.0,7.0,2486.200,1745.600,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,761.800,1476.800
1506457987.749,26-09 20:33:07,0.553,0.654,98.743,0.0,0.0,0.050,0.0,0.0,2.200,499355648.0,98267136.0,2090938368.0,5682540544.0,0.0,0.0,0.0,0.0,0.0,495.800,1943.0,1738.0,0.0,0.400,0.0,4096.0,1120.0,72266.0,4.0,3.0,1.0,7.0,2400.0,1814.400,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,661.0,1298.200
1506457992.749,26-09 20:33:12,0.959,0.656,98.335,0.050,0.0,0.0,0.0,0.0,1.200,488202240.0,98267136.0,2090938368.0,5693693952.0,0.0,0.0,0.0,0.0,0.0,557.0,1954.200,2467.600,0.0,3.600,0.0,19660.800,1088.0,72254.0,4.0,3.0,1.0,7.0,2352.600,902.600,195.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,748.600,1450.0
1506457997.749,26-09 20:33:17,0.703,0.502,98.745,0.050,0.0,0.0,0.0,0.0,0.600,480284672.0,98267136.0,2090942464.0,5701607424.0,0.0,0.0,0.0,0.0,0.0,237.200,925.200,1336.600,0.0,0.400,0.0,4096.0,1120.0,72256.0,4.0,3.0,1.0,7.0,3307.400,1927.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,600.400,1208.800
1506458002.749,26-09 20:33:22,0.858,0.706,98.436,0.0,0.0,0.0,0.0,0.0,0.600,482095104.0,98275328.0,2090934272.0,5699796992.0,0.0,0.0,0.0,0.0,0.0,360.800,1038.0,934.0,0.0,0.600,0.0,5734.400,1120.0,72256.0,4.0,3.0,1.0,7.0,2370.600,915.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,744.0,1445.0
1506458007.749,26-09 20:33:27,1.057,0.302,98.641,0.0,0.0,0.0,0.0,0.0,0.0,482037760.0,98275328.0,2090942464.0,5699846144.0,0.0,0.0,0.0,0.0,0.0,77.0,7.400,9.800,0.0,0.0,0.0,0.0,1120.0,72264.0,4.0,3.0,1.0,7.0,2386.800,1801.200,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,622.200,1246.0
1506458012.749,26-09 20:33:32,1.008,0.504,98.489,0.0,0.0,0.0,0.0,0.0,0.0,482127872.0,98279424.0,2090942464.0,5699751936.0,0.0,0.0,0.0,0.0,0.0,123.0,15.400,16.800,0.0,0.400,0.0,4096.0,1120.0,72254.0,4.0,3.0,1.0,7.0,2499.400,1758.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,684.600,1331.400
1506458017.745,26-09 20:33:37,1.462,0.857,97.630,0.050,0.0,0.0,0.0,0.0,2.800,478240768.0,98283520.0,2090946560.0,5703630848.0,0.0,0.0,0.0,0.0,0.0,686.200,2360.200,2554.600,0.0,0.400,0.0,5734.400,1120.0,72258.0,4.0,3.0,1.0,7.0,2936.600,1867.800,193.0,12.0,7.0,4.0,0.0,0.0,1.0,3.0,727.200,1385.600
