Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,ycsb-3,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-kubeadm-ServiceIP_NET-ens3-ycsb-3.csv --noheaders --noupdate 5,,,,Date:,26 Sep 2017 20:30:35 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506457833,26/09/2018 20:30,1.108,0.657,98.096,0.041,0,0.097,11987.424,102853.271,0,0,0,0,826.308,1615.5
1506457838,26/09/2018 20:30,1.208,1.107,97.635,0.05,0,0,0,48332.8,3130.4,1269.8,0,0,845.8,1633.2
1506457843,26/09/2018 20:30,1.158,0.252,98.59,0,0,0,0,12288,1551.2,739.6,0,0,678.8,1352.6
1506457848,26/09/2018 20:30,0.806,0.856,98.237,0.05,0,0.05,0,11468.8,3198.2,1099.8,0,0,778.6,1511.2
1506457853,26/09/2018 20:30,0.654,0.201,99.094,0.05,0,0,0,9830.4,939.6,668.4,0,0,577.8,1179
1506457858,26/09/2018 20:30,0.908,0.756,98.285,0.05,0,0,0,12288,2847,1861.6,0,0,742.6,1417.6
1506457863,26/09/2018 20:31,0.756,0.353,98.841,0.05,0,0,0,12288,926.4,655.2,0,0,587.6,1153
1506457868,26/09/2018 20:31,1.511,0.554,97.935,0,0,0,0,9011.2,2765,1047.2,0,0,706,1366.8
1506457873,26/09/2018 20:31,1.459,0.805,97.686,0.05,0,0,0,4915.2,2466.2,1284.4,0,0,770.6,1470.8
1506457878,26/09/2018 20:31,2.016,1.31,96.623,0,0,0.05,0,18022.4,4146.6,1967.2,0,0,806.2,1469
1506457883,26/09/2018 20:31,1.258,0.604,98.038,0.05,0,0.05,0,65536,952.8,685.2,0,0,669,1319.2
1506457888,26/09/2018 20:31,0.857,0.504,98.589,0.05,0,0,0,4915.2,15146.2,13898.4,0,0,660.2,1303.6
1506457893,26/09/2018 20:31,0.755,0.302,98.892,0.05,0,0,0,4915.2,926.4,658.8,0,0,663.8,1327.6
1506457898,26/09/2018 20:31,1.16,0.959,97.881,0,0,0,0,4096,5180.4,1101.4,0,0,796.2,1523.4
1506457903,26/09/2018 20:31,1.159,0.857,97.833,0.101,0,0.05,0,10649.6,6987.2,1044.4,0,0,1065.2,2043.4
1506457908,26/09/2018 20:31,1.16,0.605,98.185,0.05,0,0,0,5734.4,3781.6,1111.8,0,0,703.2,1405.6
1506457913,26/09/2018 20:31,0.654,0.302,99.045,0,0,0,0,4915.2,2074.2,751.8,0,0,617.6,1243.8
1506457918,26/09/2018 20:31,1.16,1.16,97.679,0,0,0,0,10649.6,6966.4,2070.4,0,0,951.8,1791.6
1506457923,26/09/2018 20:32,1.061,1.011,97.878,0.051,0,0,0,36864,6275.6,914.4,0,0,1072,2041.2
1506457928,26/09/2018 20:32,0.755,0.654,98.541,0,0,0.05,0,5734.4,3044.6,999.6,0,0,726,1449
1506457933,26/09/2018 20:32,1.108,0.554,98.186,0.151,0,0,0,15564.8,2038,755.8,0,0,864,1680
1506457938,26/09/2018 20:32,0.755,0.604,98.491,0.101,0,0.05,0,10649.6,3000.4,1056.6,0,0,645.4,1298.6
1506457943,26/09/2018 20:32,0.757,0.303,98.839,0.05,0,0.05,0,4915.2,1547,654.6,0,0,670.2,1349
1506457948,26/09/2018 20:32,0.908,0.505,98.587,0,0,0,0,4096,2854.4,1840,0,0,725.2,1447.6
1506457953,26/09/2018 20:32,0.705,0.604,98.64,0.05,0,0,0,15564.8,939.6,632.4,0,0,669.2,1302.4
1506457958,26/09/2018 20:32,1.058,0.705,98.237,0,0,0,0,24576,2418.6,953.8,0,0,706.4,1378.8
1506457963,26/09/2018 20:32,0.705,0.453,98.791,0.05,0,0,0,9011.2,2100.6,707.8,0,0,683.4,1392.8
1506457968,26/09/2018 20:32,0.504,0.303,99.193,0,0,0,0,4096,2897,1056.6,0,0,650,1303.6
1506457973,26/09/2018 20:32,1.207,0.553,98.239,0,0,0,0,4915.2,2218.6,725.4,0,0,679,1345.4
1506457978,26/09/2018 20:32,0.603,0.653,98.643,0.05,0,0.05,0,4096,3041,1826.8,0,0,664.6,1313.4
1506457983,26/09/2018 20:33,0.756,1.209,97.935,0.05,0,0.05,0,4915.2,744.4,627.6,0,0,773.8,1472.6
1506457988,26/09/2018 20:33,0.654,0.553,98.793,0,0,0,0,4096,2611,980.2,0,0,665.6,1306.8
1506457993,26/09/2018 20:33,1.058,0.655,98.237,0.05,0,0,0,19660.8,1468.2,664.6,0,0,717.6,1412.2
1506457998,26/09/2018 20:33,0.503,0.402,99.044,0.05,0,0,0,4096,3117.4,1086.6,0,0,621.2,1230
1506458003,26/09/2018 20:33,1.411,0.655,97.933,0,0,0,0,5734.4,1019.2,619.2,0,0,703.8,1371.4
