"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","kubeadm-worker-1",,,,"User:","ubuntu"
"Cmdline:","dstat -T -t -cp -mgs --vm -r -d -D total --fs --lock -n --socket --ipc -y --noheaders --output 2-cassandra-kubeadm-ContainerIP-kubeadm-worker-1.csv --noupdate 5",,,,"Date:","25 Sep 2017 15:18:38 UTC"

"epoch","system","total cpu usage",,,,,,"procs",,,"memory usage",,,,"paging",,"swap",,"virtual memory",,,,"io/total",,"dsk/total",,"filesystem",,"file locks",,,,"net/total",,"sockets",,,,,"sysv ipc",,,"system",
"epoch","time","usr","sys","idl","wai","hiq","siq","run","blk","new","used","buff","cach","free","in","out","used","free","majpf","minpf","alloc","free","read","writ","read","writ","files","inodes","pos","lck","rea","wri","recv","send","tot","tcp","udp","raw","frg","msg","sem","shm","int","csw"
1506352718.743,25-09 15:18:38,4.250,3.092,92.295,0.286,0.0,0.076,0.0,0.0,3.158,704425984.0,32858112.0,748158976.0,2658078720.0,0.0,0.0,0.0,0.0,1.599,630.300,2182.892,2649.210,5.525,2.114,208319.180,465468.585,1280.0,44439.0,4.0,3.0,1.0,7.0,0.0,0.0,202.0,13.0,3.0,4.0,0.0,0.0,1.0,3.0,836.517,1682.091
1506352723.747,25-09 15:18:43,2.393,2.592,94.915,0.0,0.0,0.100,0.0,0.0,2.200,705171456.0,32858112.0,748277760.0,2657214464.0,0.0,0.0,0.0,0.0,0.0,517.600,293.600,288.0,0.0,0.0,0.0,0.0,1312.0,44449.0,4.0,3.0,1.0,7.0,7832.600,6251.400,202.0,13.0,3.0,4.0,0.0,0.0,1.0,3.0,945.400,1909.600
1506352728.742,25-09 15:18:48,2.967,3.066,93.670,0.099,0.0,0.198,0.0,0.0,0.200,701505536.0,32866304.0,748290048.0,2660859904.0,0.0,0.0,0.0,0.0,0.0,171.400,35.600,225.800,0.400,0.400,3276.800,24576.0,1248.0,44403.0,4.0,3.0,1.0,7.0,4659.0,3886.400,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,761.600,1522.600
1506352733.742,25-09 15:18:53,2.781,2.681,94.538,0.0,0.0,0.0,0.0,0.0,1.200,701153280.0,32878592.0,748290048.0,2661199872.0,0.0,0.0,0.0,0.0,0.0,306.400,2357.200,2353.400,0.0,0.600,0.0,16384.0,1216.0,44409.0,4.0,3.0,1.0,7.0,8349.0,7483.400,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,877.400,1779.400
1506352738.745,25-09 15:18:58,3.072,2.577,94.252,0.0,0.0,0.099,0.0,0.0,0.0,701247488.0,32878592.0,748290048.0,2661105664.0,0.0,0.0,0.0,0.0,0.0,76.0,8.800,13.600,0.0,0.200,0.0,4096.0,1216.0,44407.0,4.0,3.0,1.0,7.0,4597.0,4044.0,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,791.400,1627.800
1506352743.747,25-09 15:19:03,3.184,2.189,94.527,0.100,0.0,0.0,0.0,0.0,0.0,701337600.0,32886784.0,748290048.0,2661007360.0,0.0,0.0,0.0,0.0,0.0,11.800,24.800,19.600,0.0,1.200,0.0,7372.800,1216.0,44409.0,4.0,3.0,1.0,7.0,7878.600,6240.200,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,807.600,1649.400
1506352748.745,25-09 15:19:08,2.985,2.289,94.627,0.100,0.0,0.0,0.0,0.0,0.0,701390848.0,32894976.0,748290048.0,2660945920.0,0.0,0.0,0.0,0.0,0.0,10.0,9.400,11.600,0.0,0.400,0.0,3276.800,1216.0,44405.0,4.0,3.0,1.0,7.0,4824.400,4327.400,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,739.0,1501.800
1506352753.745,25-09 15:19:13,2.880,3.575,93.545,0.0,0.0,0.0,0.0,0.0,2.800,701378560.0,32903168.0,748290048.0,2660950016.0,0.0,0.0,0.0,0.0,0.0,695.0,2430.400,2435.600,0.0,6.0,0.0,37683.200,1248.0,44403.0,4.0,3.0,1.0,7.0,8325.200,6613.0,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,961.0,1904.400
1506352758.745,25-09 15:19:18,2.395,2.994,94.511,0.0,0.0,0.100,0.0,0.0,1.800,701272064.0,32903168.0,748290048.0,2661056512.0,0.0,0.0,0.0,0.0,0.0,428.800,5321.600,5313.200,0.0,0.0,0.0,0.0,1216.0,44403.0,4.0,3.0,1.0,7.0,4493.800,3626.0,195.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,777.400,1540.400
