Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,kubeadm-worker-2,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-kubeadm-ContainerIP_NET-ens3-kubeadm-worker-2.csv --noheaders --noupdate 5,,,,Date:,25 Sep 2017 15:19:57 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506352735,25/09/2018 15:18,3.912,2.681,93.038,0.294,0,0.075,207392.338,479580.113,0,0,0,0,854.825,1724.358
1506352740,25/09/2018 15:18,2.584,2.087,95.129,0.099,0,0.099,1638.4,16384,2953.4,2270.6,0,0,786.2,1618
1506352745,25/09/2018 15:19,4.2,2.3,93.5,0,0,0,0,1638.4,3228.6,1718.4,0,0,820.2,1698.4
1506352750,25/09/2018 15:19,1.798,2.897,95.205,0.1,0,0,0,6553.6,3650.6,2176.6,0,0,892.6,1811.8
1506352755,25/09/2018 15:19,2.997,3.497,93.407,0.1,0,0,0,9011.2,3100,1598,0,0,855.8,1713
1506352760,25/09/2018 15:19,1.902,2.603,95.395,0,0,0.1,0,7372.8,3602.4,3114.8,0,0,818,1642.6
1506352765,25/09/2018 15:19,3.009,2.106,94.784,0.1,0,0,0,3276.8,3692.4,1661.4,0,0,790.4,1625.2
1506352770,25/09/2018 15:19,2.104,1.603,96.192,0.1,0,0,0,24576,2635.8,2040.8,0,0,780.8,1613.2
1506352775,25/09/2018 15:19,3.781,1.791,94.229,0.1,0,0.1,0,5734.4,3381.2,1825.8,0,0,807.8,1655.2
1506352780,25/09/2018 15:19,2.7,2.1,95.1,0.1,0,0,0,4915.2,4101.4,2503,0,0,854.4,1742
1506352785,25/09/2018 15:19,3.4,2.4,94,0,0,0.2,0,7372.8,3372.4,1919.6,0,0,923.2,1847.4
1506352790,25/09/2018 15:19,2.202,2.002,95.596,0.1,0,0.1,0,5734.4,3597.6,3190.6,0,0,822.6,1696.8
1506352795,25/09/2018 15:19,3.715,3.414,92.57,0.1,0,0.201,0,3276.8,3165,1706.8,0,0,986.6,1992.2
1506352800,25/09/2018 15:19,3.197,2.198,94.605,0,0,0,0,4096,3172.8,2049.6,0,0,807,1635
1506352805,25/09/2018 15:20,3.397,2.498,94.006,0,0,0.1,0,9011.2,3100.4,1722.8,0,0,814.8,1685.8
1506352810,25/09/2018 15:20,2.595,2.096,95.309,0,0,0,0,0,3016.6,2086.8,0,0,822.8,1700.4
1506352815,25/09/2018 15:20,3.31,3.811,92.678,0.1,0,0.1,0,9830.4,3024.8,1602,0,0,968.8,1893.4
1506352820,25/09/2018 15:20,2.393,2.891,94.616,0.1,0,0,0,7372.8,4388.8,3049.2,0,0,884.2,1779.2
1506352825,25/09/2018 15:20,3.861,2.475,93.465,0.099,0,0.099,0,3276.8,3059.2,1663.4,0,0,812,1660
1506352830,25/09/2018 15:20,1.904,1.503,96.493,0.1,0,0,0,4915.2,2776.4,1997,0,0,707.2,1456.8
1506352835,25/09/2018 15:20,3.28,2.187,94.433,0,0,0.099,0,3276.8,2905,1572.2,0,0,798.2,1618.2
