Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,kubeadm-worker-2,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-kubeadm-NodePort_NET-ens3-kubeadm-worker-2.csv --noheaders --noupdate 5,,,,Date:,27 Sep 2017 11:20:04 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506511207,27/09/2018 11:20,3.471,2.126,94.168,0.176,0,0.059,148646.525,13768.763,0,0,0,0,883.26,1772.2
1506511212,27/09/2018 11:20,3.644,2.733,93.32,0.202,0,0.101,2457.6,34406.4,4389.6,1593.6,0,0,953.4,1878
1506511217,27/09/2018 11:20,2.736,3.04,94.124,0.101,0,0,0,9830.4,27459,26526.6,0,0,970.2,1926
1506511222,27/09/2018 11:20,3.131,2.121,94.747,0,0,0,0,0,3452.6,1193.4,0,0,799.4,1614.8
1506511227,27/09/2018 11:20,4.036,1.11,94.753,0.101,0,0,0,4096,2944.6,1771,0,0,760.8,1541.4
1506511232,27/09/2018 11:20,2.738,1.521,95.74,0,0,0,0,3276.8,3702.4,1342.8,0,0,785.6,1603.8
1506511237,27/09/2018 11:20,3.528,1.109,95.161,0.101,0,0.101,0,4096,3367.2,1794,0,0,771,1546.8
1506511242,27/09/2018 11:20,3.03,3.03,93.838,0,0,0.101,0,7372.8,5203.2,1527.4,0,0,960.6,1918.6
1506511247,27/09/2018 11:20,2.834,0.911,96.154,0.101,0,0,0,12288,3196.4,2511.4,0,0,763.2,1546.6
1506511252,27/09/2018 11:20,2.722,2.117,95.06,0.101,0,0,0,6553.6,3452,1181.4,0,0,745.2,1509.8
1506511257,27/09/2018 11:20,2.115,1.007,96.878,0,0,0,0,6553.6,2913,1825,0,0,682,1409.2
1506511262,27/09/2018 11:21,2.929,1.818,95.152,0.101,0,0,0,3276.8,3773.6,1263.2,0,0,805,1631
1506511267,27/09/2018 11:21,3.259,2.037,94.501,0.102,0,0.102,0,4096,3330.6,1837.6,0,0,936.2,1853.6
1506511272,27/09/2018 11:21,3.347,2.231,94.32,0,0,0.101,0,6553.6,4269.4,1374.6,0,0,961.8,1883.4
1506511277,27/09/2018 11:21,2.541,3.455,94.004,0,0,0,0,4915.2,3195.4,2664,0,0,956.6,1855.8
1506511282,27/09/2018 11:21,3.421,2.213,94.266,0.101,0,0,0,10649.6,3964.2,1467.2,0,0,787.6,1587
1506511287,27/09/2018 11:21,1.921,0.91,97.068,0.101,0,0,0,4096,2767.4,1726.6,0,0,747,1536.2
1506511292,27/09/2018 11:21,3.333,1.313,95.152,0,0,0.202,0,4096,3687.4,1198,0,0,781.4,1605
1506511297,27/09/2018 11:21,2.834,0.911,96.154,0.101,0,0,0,4096,2783.4,1878.4,0,0,766.4,1538.4
1506511302,27/09/2018 11:21,3.236,2.932,93.832,0,0,0,0,8192,4204.2,1372.4,0,0,1021,2047.4
1506511307,27/09/2018 11:21,6.855,1.31,91.734,0.101,0,0,0,4096,2974.6,2550.2,0,0,861,1698.8
1506511312,27/09/2018 11:21,3.03,1.515,95.253,0,0,0.202,0,0,3768.8,1246,0,0,829.2,1669.6
1506511317,27/09/2018 11:21,2.119,1.11,96.771,0,0,0,0,9830.4,3240.8,1924.2,0,0,738.8,1500.8
1506511322,27/09/2018 11:22,3.525,1.913,94.461,0,0,0.101,0,6553.6,3847,1330.6,0,0,760,1516.4
1506511327,27/09/2018 11:22,2.749,2.648,94.501,0,0,0.102,0,0,3477,1889.6,0,0,946.4,1894.6
1506511332,27/09/2018 11:22,3.21,3.41,93.079,0.1,0,0.201,0,8192,5422.8,1551.8,0,0,964.4,1917.2
1506511337,27/09/2018 11:22,2.935,3.441,93.623,0,0,0,0,4915.2,3152.8,2785,0,0,971,1878.4
1506511342,27/09/2018 11:22,2.837,2.026,94.934,0.101,0,0.101,0,4915.2,3752.6,1258,0,0,838.4,1691.4
1506511347,27/09/2018 11:22,2.018,1.615,96.367,0,0,0,0,4096,2865.6,1699.4,0,0,777.4,1582.6
1506511352,27/09/2018 11:22,3.122,1.813,94.965,0.101,0,0,0,9011.2,3489.6,1001.8,0,0,785.2,1598
1506511357,27/09/2018 11:22,3.722,1.207,94.97,0.101,0,0,0,4096,2656.8,1789.2,0,0,753.6,1522.6
1506511362,27/09/2018 11:22,3.015,2.814,94.07,0,0,0.101,0,7372.8,3733.8,949,0,0,894.8,1789.8
1506511367,27/09/2018 11:22,2.424,0.909,96.566,0.101,0,0,0,5734.4,3012.8,2440,0,0,746.4,1516
