"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","kubeadm-master",,,,"User:","ubuntu"
"Cmdline:","dstat -T -t -cp -mgs --vm -r -d -D total --fs --lock -n --socket --ipc -y --noheaders --output 2-cassandra-kubeadm-ServiceIP-kubeadm-master.csv --noupdate 5",,,,"Date:","26 Sep 2017 20:29:58 UTC"

"epoch","system","total cpu usage",,,,,,"procs",,,"memory usage",,,,"paging",,"swap",,"virtual memory",,,,"io/total",,"dsk/total",,"filesystem",,"file locks",,,,"net/total",,"sockets",,,,,"sysv ipc",,,"system",
"epoch","time","usr","sys","idl","wai","hiq","siq","run","blk","new","used","buff","cach","free","in","out","used","free","majpf","minpf","alloc","free","read","writ","read","writ","files","inodes","pos","lck","rea","wri","recv","send","tot","tcp","udp","raw","frg","msg","sem","shm","int","csw"
1506457798.122,26-09 20:29:58,5.955,4.354,88.442,1.133,0.0,0.116,0.0,0.0,1.992,1150013440.0,101965824.0,2031316992.0,860225536.0,0.0,0.0,0.0,0.0,0.067,645.175,3911.515,3918.106,0.352,20.321,14781.814,139640.831,1984.0,63394.0,4.0,4.0,4.0,10.0,0.0,0.0,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3099.907,7243.051
1506457803.127,26-09 20:30:03,5.252,3.751,90.032,0.965,0.0,0.0,0.800,0.0,1.200,1149997056.0,101965824.0,2031337472.0,860221440.0,0.0,0.0,0.0,0.0,0.0,624.800,2986.800,2990.800,0.0,23.600,0.0,99942.400,1984.0,63378.0,4.0,4.0,4.0,10.0,2049.0,7609.0,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3041.0,7128.0
1506457808.124,26-09 20:30:08,4.127,4.974,89.947,0.847,0.0,0.106,0.600,0.0,2.400,1149992960.0,101965824.0,2031345664.0,860217344.0,0.0,0.0,0.0,0.0,0.0,887.0,9261.600,9256.600,0.0,18.200,0.0,72908.800,2016.0,63380.0,4.0,4.0,4.0,10.0,5244.200,7613.600,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3070.800,7157.800
1506457813.123,26-09 20:30:13,6.170,4.043,88.830,0.957,0.0,0.0,0.0,0.0,0.0,1150005248.0,101965824.0,2031362048.0,860188672.0,0.0,0.0,0.0,0.0,0.0,333.200,26.200,30.400,0.0,26.200,0.0,113868.800,2016.0,63376.0,4.0,4.0,4.0,10.0,1814.800,9319.800,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3021.0,7089.600
1506457818.124,26-09 20:30:18,6.554,3.911,88.478,0.740,0.0,0.317,0.0,0.0,0.600,1150066688.0,101965824.0,2031366144.0,860123136.0,0.0,0.0,0.0,0.0,0.0,389.0,1478.400,1479.600,0.0,21.200,0.0,81100.800,1984.0,63374.0,4.0,4.0,4.0,10.0,42720.200,44646.0,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3115.200,7317.200
1506457823.125,26-09 20:30:23,6.164,4.038,88.629,0.956,0.0,0.213,0.0,0.0,2.200,1150009344.0,101965824.0,2031390720.0,860155904.0,0.0,0.0,0.0,0.0,0.0,592.600,1965.400,1969.0,0.0,24.0,0.0,101580.800,2016.0,63378.0,4.0,4.0,4.0,10.0,1831.0,8192.200,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,2975.0,7080.0
1506457828.127,26-09 20:30:28,5.101,3.932,90.117,0.744,0.0,0.106,0.200,0.0,0.600,1149808640.0,101965824.0,2031398912.0,860348416.0,0.0,0.0,0.0,0.0,0.0,297.0,1243.200,1247.200,0.0,19.0,0.0,81920.0,2016.0,63386.0,4.0,4.0,4.0,10.0,5353.400,8289.200,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3081.0,7204.200
1506457833.125,26-09 20:30:33,5.832,4.772,88.229,1.060,0.0,0.106,0.0,0.0,1.800,1150173184.0,101965824.0,2031419392.0,859963392.0,0.0,0.0,0.0,0.0,0.0,863.200,3919.400,3911.0,0.0,24.600,0.0,104857.600,2016.0,63378.0,4.0,4.0,4.0,10.0,2140.400,8257.0,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,3127.200,7276.600
1506457838.125,26-09 20:30:38,4.440,4.123,90.592,0.846,0.0,0.0,0.200,0.0,0.600,1150009344.0,101965824.0,2031423488.0,860123136.0,0.0,0.0,0.0,0.0,0.0,403.200,1653.400,1653.800,0.0,19.400,0.0,65536.0,2016.0,63372.0,4.0,4.0,4.0,10.0,5125.600,7471.0,369.0,130.0,3.0,4.0,0.0,0.0,1.0,3.0,2988.0,7048.800
