"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","kubeadm-worker-1",,,,"User:","ubuntu"
"Cmdline:","dstat -T -t -cp -mgs --vm -r -d -D total --fs --lock -n --socket --ipc -y --noheaders --output 2-cassandra-kubeadm-ServiceIP-kubeadm-worker-1.csv --noupdate 5",,,,"Date:","26 Sep 2017 20:29:14 UTC"

"epoch","system","total cpu usage",,,,,,"procs",,,"memory usage",,,,"paging",,"swap",,"virtual memory",,,,"io/total",,"dsk/total",,"filesystem",,"file locks",,,,"net/total",,"sockets",,,,,"sysv ipc",,,"system",
"epoch","time","usr","sys","idl","wai","hiq","siq","run","blk","new","used","buff","cach","free","in","out","used","free","majpf","minpf","alloc","free","read","writ","read","writ","files","inodes","pos","lck","rea","wri","recv","send","tot","tcp","udp","raw","frg","msg","sem","shm","int","csw"
1506457754.146,26-09 20:29:14,19.425,6.449,66.652,0.923,0.0,6.551,0.0,0.0,4.980,1390010368.0,27578368.0,1507934208.0,1217998848.0,0.0,0.0,0.0,0.0,3.267,1165.523,4240.664,4586.817,13.329,7.068,448486.324,3130975.242,1312.0,27437.0,4.0,3.0,1.0,7.0,0.0,0.0,202.0,13.0,3.0,4.0,0.0,0.0,1.0,3.0,3600.586,8068.253
1506457759.148,26-09 20:29:19,4.273,2.136,93.286,0.102,0.0,0.203,0.400,0.0,4.800,1395355648.0,27594752.0,1507962880.0,1212608512.0,0.0,0.0,0.0,0.0,0.0,1511.0,7713.400,7467.600,0.600,0.600,2457.600,40960.0,1344.0,27440.0,4.0,3.0,1.0,7.0,8960.0,7480.200,202.0,13.0,3.0,4.0,0.0,0.0,1.0,3.0,1035.400,2011.800
1506457764.147,26-09 20:29:24,3.337,1.416,95.046,0.101,0.0,0.101,0.0,0.0,0.200,1391648768.0,27607040.0,1507975168.0,1216290816.0,0.0,0.0,0.0,0.0,0.0,178.200,47.800,237.800,0.400,0.400,3276.800,14745.600,1280.0,27402.0,4.0,3.0,1.0,7.0,7126.800,5610.200,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,793.0,1618.200
1506457769.148,26-09 20:29:29,1.925,1.013,96.960,0.0,0.0,0.101,0.0,0.0,0.0,1391706112.0,27615232.0,1507975168.0,1216225280.0,0.0,0.0,0.0,0.0,0.0,2.200,24.200,19.200,0.0,0.400,0.0,3276.800,1280.0,27404.0,4.0,3.0,1.0,7.0,8430.600,6773.200,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,763.800,1568.200
1506457774.147,26-09 20:29:34,2.637,1.014,96.247,0.101,0.0,0.0,0.0,0.0,0.0,1391628288.0,27623424.0,1507979264.0,1216290816.0,0.0,0.0,0.0,0.0,0.0,23.400,21.0,23.400,0.0,0.600,0.0,9830.400,1280.0,27402.0,4.0,3.0,1.0,7.0,6479.600,4918.400,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,730.400,1497.200
1506457779.148,26-09 20:29:39,1.921,1.112,96.967,0.0,0.0,0.0,0.0,0.0,0.0,1391624192.0,27623424.0,1507979264.0,1216294912.0,0.0,0.0,0.0,0.0,0.0,2.400,25.400,20.800,0.0,0.0,0.0,0.0,1280.0,27406.0,4.0,3.0,1.0,7.0,7477.600,6464.0,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,773.600,1582.400
1506457784.148,26-09 20:29:44,2.834,1.012,95.951,0.101,0.0,0.101,0.0,0.0,0.0,1391652864.0,27631616.0,1507979264.0,1216258048.0,0.0,0.0,0.0,0.0,0.0,10.200,22.400,25.400,0.0,8.800,0.0,52428.800,1280.0,27406.0,4.0,3.0,1.0,7.0,7029.600,6273.0,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,746.0,1512.0
1506457789.149,26-09 20:29:49,2.736,1.114,95.947,0.101,0.0,0.101,1.0,0.0,0.200,1393799168.0,27639808.0,1507979264.0,1214103552.0,0.0,0.0,0.0,0.0,0.0,8.200,136.800,130.400,0.0,0.800,0.0,10649.600,1280.0,27413.0,4.0,3.0,1.0,7.0,8938.800,7229.800,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,816.0,1672.400
1506457794.150,26-09 20:29:54,2.637,1.217,96.045,0.101,0.0,0.0,0.0,0.0,2.0,1391464448.0,27652096.0,1507987456.0,1216417792.0,0.0,0.0,0.0,0.0,0.0,400.0,2361.800,2365.400,0.200,0.800,819.200,9830.400,1280.0,27400.0,4.0,3.0,1.0,7.0,5812.400,5008.0,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,741.800,1515.200
1506457799.150,26-09 20:29:59,2.028,0.811,97.059,0.0,0.0,0.101,0.0,0.0,0.0,1391587328.0,27660288.0,1507987456.0,1216286720.0,0.0,0.0,0.0,0.0,0.0,2.200,25.600,20.600,0.0,2.400,0.0,14745.600,1280.0,27406.0,4.0,3.0,1.0,7.0,8248.200,6828.800,199.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,782.200,1611.600
1506457804.148,26-09 20:30:04,2.846,1.728,95.224,0.203,0.0,0.0,0.400,0.0,0.600,1392689152.0,27762688.0,1507987456.0,1215082496.0,0.0,0.0,0.0,0.0,0.0,109.400,171.400,92.600,4.600,0.400,18841.600,4915.200,1280.0,28799.0,4.0,3.0,1.0,7.0,7205.600,6061.0,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,832.600,1693.0
1506457809.150,26-09 20:30:09,4.247,1.820,93.731,0.0,0.0,0.202,0.0,0.0,2.200,1397018624.0,27770880.0,1507991552.0,1210740736.0,0.0,0.0,0.0,0.0,0.0,435.400,4470.400,4262.0,0.0,0.400,0.0,4096.0,1280.0,28797.0,4.0,3.0,1.0,7.0,7915.800,6842.200,199.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,905.0,1835.200
1506457814.150,26-09 20:30:14,3.138,2.024,94.636,0.101,0.0,0.101,0.0,0.0,2.400,1392885760.0,27779072.0,1507991552.0,1214865408.0,0.0,0.0,0.0,0.0,0.0,706.400,7889.400,8101.600,0.0,0.400,0.0,4915.200,1280.0,28797.0,4.0,3.0,1.0,7.0,18353.600,18123.0,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,810.400,1625.400
1506457819.150,26-09 20:30:19,2.432,1.520,95.947,0.101,0.0,0.0,0.0,0.0,1.800,1392435200.0,27787264.0,1507991552.0,1215307776.0,0.0,0.0,0.0,0.0,0.0,497.200,4634.600,4628.0,0.0,0.400,0.0,3276.800,1280.0,28801.0,4.0,3.0,1.0,7.0,44956.200,42105.0,197.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,825.400,1658.800
1506457824.145,26-09 20:30:24,2.442,1.831,95.626,0.0,0.0,0.102,0.0,0.0,2.400,1394991104.0,27795456.0,1507983360.0,1212751872.0,0.0,0.0,0.0,0.0,0.0,496.800,2578.400,2471.400,0.0,0.400,0.0,4915.200,1280.0,28797.0,4.0,3.0,1.0,7.0,7435.400,6375.200,199.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,848.400,1710.200
1506457829.147,26-09 20:30:29,2.427,1.011,96.562,0.0,0.0,0.0,0.0,0.0,0.0,1392934912.0,27795456.0,1507991552.0,1214799872.0,0.0,0.0,0.0,0.0,0.0,27.200,24.800,127.600,0.0,0.800,0.0,6553.600,1280.0,28795.0,4.0,3.0,1.0,7.0,7330.600,5534.0,199.0,12.0,3.0,4.0,0.0,0.0,1.0,3.0,748.200,1541.400
