Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,kubeadm-worker-1,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-kubeadm-ServiceIP_NET-ens3-kubeadm-worker-1.csv --noheaders --noupdate 5,,,,Date:,26 Sep 2017 20:29:17 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506457759,26/09/2018 20:29,19.358,6.429,66.771,0.919,0,6.523,446540.265,3117593.244,0,0,0,0,3589.037,8041.113
1506457764,26/09/2018 20:29,3.147,1.726,94.924,0.102,0,0.102,4915.2,0,2064,1612.6,0,0,893.2,1795.2
1506457769,26/09/2018 20:29,2.328,0.81,96.761,0.101,0,0,0,14745.6,5465.2,3015.6,0,0,752.6,1539.8
1506457774,26/09/2018 20:29,2.634,1.317,95.947,0,0,0.101,0,4915.2,2564.2,1431,0,0,753.2,1542.4
1506457779,26/09/2018 20:29,2.026,0.608,97.264,0.101,0,0,0,8192,4418.8,2696.2,0,0,745.2,1534.8
1506457784,26/09/2018 20:29,2.626,1.414,95.758,0.101,0,0.101,0,51609.6,2100,1291,0,0,750.2,1514.6
1506457789,26/09/2018 20:29,2.837,1.114,95.846,0.101,0,0.101,0,11468.8,5631,4028.8,0,0,817.2,1664.4
1506457794,26/09/2018 20:29,2.846,1.22,95.833,0.102,0,0,819.2,9830.4,1630.6,1214,0,0,775.2,1598.6
1506457799,26/09/2018 20:29,1.923,0.81,97.166,0,0,0.101,0,14745.6,4592,2892.4,0,0,773.6,1591.2
1506457804,26/09/2018 20:30,2.944,1.726,95.127,0.203,0,0,18841.6,4915.2,2107.8,1545.4,0,0,819.8,1666.6
1506457809,26/09/2018 20:30,4.061,1.726,94.112,0,0,0.102,0,4096,4595,2892.4,0,0,922.6,1865.8
1506457814,26/09/2018 20:30,3.134,2.224,94.439,0,0,0.202,0,0,1878,1173,0,0,795.4,1605
1506457819,26/09/2018 20:30,2.429,1.518,95.951,0.101,0,0,0,4915.2,54295.4,51928.8,0,0,848,1696.4
1506457824,26/09/2018 20:30,2.738,1.724,95.335,0.101,0,0.101,0,3276.8,1956.2,1436.6,0,0,837.8,1687
1506457829,26/09/2018 20:30,1.726,0.914,97.36,0,0,0,0,11468.8,4940.2,2858.2,0,0,748,1544.2
