"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","docker-swarm-worker-1",,,,"User:","ubuntu"
"Cmdline:","dstat -T -t -cp -mgs --vm -r -d -D total --fs --lock -n --socket --ipc -y --noheaders --output 2-cassandra-docker_netishost-bis-docker-swarm-worker-1.csv --noupdate 5",,,,"Date:","22 Sep 2017 23:27:17 UTC"

"epoch","system","total cpu usage",,,,,,"procs",,,"memory usage",,,,"paging",,"swap",,"virtual memory",,,,"io/total",,"dsk/total",,"filesystem",,"file locks",,,,"net/total",,"sockets",,,,,"sysv ipc",,,"system",
"epoch","time","usr","sys","idl","wai","hiq","siq","run","blk","new","used","buff","cach","free","in","out","used","free","majpf","minpf","alloc","free","read","writ","read","writ","files","inodes","pos","lck","rea","wri","recv","send","tot","tcp","udp","raw","frg","msg","sem","shm","int","csw"
1506122837.483,22-09 23:27:17,3.782,1.544,93.560,1.053,0.0,0.061,0.0,0.0,8.740,444166144.0,16850944.0,192983040.0,3489521664.0,0.0,0.0,0.0,0.0,5.972,1282.405,1668.400,5456.136,35.750,2.293,909995.486,29410.539,928.0,17382.0,4.0,2.0,1.0,6.0,0.0,0.0,137.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,364.734,647.259
1506122842.488,22-09 23:27:22,0.806,0.403,96.677,2.115,0.0,0.0,0.0,0.0,1.200,444649472.0,16850944.0,193404928.0,3488616448.0,0.0,0.0,0.0,0.0,1.0,282.0,247.0,223.0,1.200,0.0,81100.800,0.0,928.0,17386.0,4.0,2.0,1.0,6.0,1640.800,1551.400,137.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,283.800,510.600
1506122847.484,22-09 23:27:27,0.704,0.101,99.095,0.101,0.0,0.0,0.0,0.0,0.0,444706816.0,16859136.0,193404928.0,3488550912.0,0.0,0.0,0.0,0.0,0.0,0.800,10.400,6.400,0.0,0.400,0.0,6553.600,928.0,17386.0,4.0,2.0,1.0,6.0,1530.800,1251.0,137.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,244.600,445.800
1506122852.486,22-09 23:27:32,0.804,0.101,98.995,0.101,0.0,0.0,0.0,0.0,0.0,444665856.0,16867328.0,193404928.0,3488583680.0,0.0,0.0,0.0,0.0,0.0,2.600,1.800,4.400,0.0,1.0,0.0,9830.400,928.0,17386.0,4.0,2.0,1.0,6.0,815.0,765.200,137.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,224.400,419.400
1506122857.483,22-09 23:27:37,1.421,1.218,97.157,0.203,0.0,0.0,0.400,0.0,6.200,449957888.0,16887808.0,193462272.0,3483213824.0,0.0,0.0,0.0,0.0,0.200,646.800,834.400,534.600,1.600,0.600,11468.800,6553.600,992.0,17449.0,4.0,2.0,1.0,6.0,1682.0,1356.800,141.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,1073.600,2144.400
1506122862.484,22-09 23:27:42,28.016,2.556,68.814,0.307,0.0,0.307,0.0,0.0,11.400,455483392.0,16904192.0,193867776.0,3477266432.0,0.0,0.0,0.0,0.0,0.400,2134.0,7257.800,6999.200,2.600,0.800,80281.600,26214.400,1024.0,17460.0,4.0,2.0,1.0,6.0,1479.400,1565.200,141.0,13.0,1.0,0.0,0.0,0.0,1.0,3.0,1100.800,2156.600
1506122867.488,22-09 23:27:47,0.709,0.405,98.886,0.0,0.0,0.0,0.0,0.0,0.400,446128128.0,16912384.0,193855488.0,3486625792.0,0.0,0.0,0.0,0.0,0.0,77.200,51.400,524.400,0.0,2.400,0.0,16384.0,928.0,17382.0,4.0,2.0,1.0,6.0,1580.400,1361.600,132.0,12.0,1.0,0.0,0.0,0.0,1.0,3.0,587.800,1166.200
1506122872.486,22-09 23:27:52,0.603,0.201,99.095,0.101,0.0,0.0,0.0,0.0,0.0,446050304.0,16924672.0,193855488.0,3486691328.0,0.0,0.0,0.0,0.0,0.0,39.800,1.200,3.800,0.0,0.600,0.0,13107.200,928.0,17382.0,4.0,2.0,1.0,6.0,984.600,899.600,132.0,12.0,1.0,0.0,0.0,0.0,1.0,3.0,221.600,410.400
1506122877.485,22-09 23:27:57,0.302,0.201,99.396,0.101,0.0,0.0,0.0,0.0,0.0,445976576.0,16932864.0,193855488.0,3486756864.0,0.0,0.0,0.0,0.0,0.0,2.600,0.600,3.400,0.0,0.600,0.0,5734.400,928.0,17382.0,4.0,2.0,1.0,6.0,807.600,748.200,132.0,12.0,1.0,0.0,0.0,0.0,1.0,3.0,216.200,403.0
