Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,docker-swarm-worker-1,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-docker_netishost-bis_NET-ens3-docker-swarm-worker-1.csv --noheaders --noupdate 5,,,,Date:,22 Sep 2017 23:27:01 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506122905,22/09/2018 23:28,4.01,1.644,93.152,1.129,0,0.065,979581.441,30956.089,0,0,0,0,374.381,663.331
1506122910,22/09/2018 23:28,0.402,0.201,99.397,0,0,0,1638.4,4096,1291.8,1137.6,0,0,227.8,420.4
1506122915,22/09/2018 23:28,1.005,0.201,98.693,0.101,0,0,0,7372.8,1140.8,961.4,0,0,226.8,419
1506122920,22/09/2018 23:28,0.504,0.101,99.295,0.101,0,0,0,14745.6,2045,1856.2,0,0,261.6,483.4
1506122925,22/09/2018 23:28,1.309,0.403,98.288,0,0,0,819.2,3276.8,1441.4,1282.4,0,0,247.2,441.8
1506122930,22/09/2018 23:28,0.805,0.402,96.579,2.213,0,0,81100.8,6553.6,1702,1541.6,0,0,294.6,528.4
1506122935,22/09/2018 23:28,0.503,0.101,99.296,0.101,0,0,0,4096,723.4,723.2,0,0,218.8,413.6
1506122940,22/09/2018 23:28,1.52,1.013,97.366,0.101,0,0,11468.8,5734.4,1531.2,1243.2,0,0,869.6,1718.4
1506122945,22/09/2018 23:29,28.25,2.764,68.373,0.307,0,0.307,80281.6,19660.8,1690.6,1698,0,0,1281.2,2523.8
1506122950,22/09/2018 23:29,0.81,0.304,98.785,0.101,0,0,0,13107.2,1650.8,1395.8,0,0,602.6,1205.8
1506122955,22/09/2018 23:29,0.504,0.202,99.294,0,0,0,0,16384,1016.8,934.8,0,0,236.4,438.2
1506122960,22/09/2018 23:29,0.402,0.201,99.296,0.101,0,0,0,13107.2,773.6,747.4,0,0,218.4,403.6
1506122965,22/09/2018 23:29,0.903,0.301,98.696,0.1,0,0,0,5734.4,759.2,712.4,0,0,225.2,427.4
1506122970,22/09/2018 23:29,0.503,0.201,99.195,0.101,0,0,0,7372.8,759.2,745.8,0,0,217.2,407.4
1506122975,22/09/2018 23:29,0.504,0.101,99.396,0,0,0,0,5734.4,730.2,679.8,0,0,214.2,404.2
1506122980,22/09/2018 23:29,0.805,0.201,98.893,0.101,0,0,0,4915.2,758.6,739.2,0,0,218.4,411.2
1506122985,22/09/2018 23:29,0.402,0.101,99.396,0.101,0,0,0,9011.2,971.6,893.6,0,0,218.4,408.8
