Dstat 0.7.2 CSV output,,,,,,,,,,,,,,,
Author:,Dag Wieers <dag@wieers.com>,,,,URL:,http://dag.wieers.com/home-made/dstat/,,,,,,,,,
Host:,docker-swarm-worker-2,,,,User:,ubuntu,,,,,,,,,
Cmdline:,dstat -N ens3 --output 2-cassandra-swarm-ContainerIP-tris_NET-ens3-docker-swarm-worker-2.csv --noheaders --noupdate 5,,,,Date:,23 Sep 2017 22:06:45 UTC,,,,,,,,,
,,,,,,,,,,,,,,,
epoch,system,total cpu usage,,,,,,dsk/total,,net/ens3,,paging,,system,
epoch,time,usr,sys,idl,wai,hiq,siq,read,writ,recv,send,in,out,int,csw
1506204406,23/09/2018 22:06,3.051,1.391,95.109,0.352,0,0.096,215731.004,941870.531,0,0,0,0,613.106,1163.784
1506204411,23/09/2018 22:06,1.11,0.505,98.184,0.101,0,0.101,1638.4,15564.8,3019,2891.2,0,0,563.6,1103.8
1506204416,23/09/2018 22:06,0.912,0.811,98.278,0,0,0,0,0,1555.4,1522.4,0,0,715.2,1416.2
1506204421,23/09/2018 22:07,1.009,0.404,98.486,0,0,0.101,0,9011.2,1314.6,1326,0,0,432.6,858
1506204426,23/09/2018 22:07,0.609,0.507,98.682,0.203,0,0,0,19660.8,1736.8,1651.4,0,0,657.6,1311.4
1506204431,23/09/2018 22:07,0.605,0.303,99.092,0,0,0,0,18022.4,1449.8,1410.6,0,0,460.2,908.4
1506204436,23/09/2018 22:07,0.709,1.113,98.077,0.101,0,0,0,9011.2,3149.6,3854.4,0,0,771.6,1542.2
1506204441,23/09/2018 22:07,0.706,0.504,98.589,0.101,0,0.101,0,4096,2750.8,2481,0,0,508.4,1000.2
1506204446,23/09/2018 22:07,1.933,0.509,97.05,0.407,0,0.102,0,35225.6,1917.8,1628.6,0,0,774.8,1532
1506204451,23/09/2018 22:07,0.707,0.303,98.99,0,0,0,0,9830.4,1608.6,1579,0,0,488,975
1506204456,23/09/2018 22:07,3.448,0.609,94.523,1.318,0,0.101,0,107315.2,2345,1942.4,0,0,871,1779.6
1506204461,23/09/2018 22:07,4.141,0.404,95.455,0,0,0,0,19660.8,1859.8,1794.2,0,0,490,934.6
1506204466,23/09/2018 22:07,0.605,0.706,98.385,0.101,0,0.202,0,28672,2983.6,3697.4,0,0,665,1305.8
1506204471,23/09/2018 22:07,0.706,0.505,98.688,0.101,0,0,0,7372.8,2075.2,1987.8,0,0,496.6,979.8
1506204476,23/09/2018 22:07,0.91,1.011,97.877,0.101,0,0.101,0,26214.4,2117.4,1794,0,0,763.8,1524.8
1506204481,23/09/2018 22:08,0.806,0.403,98.489,0.201,0,0.101,0,19660.8,1358.2,1344.6,0,0,449,880.8
1506204486,23/09/2018 22:08,1.316,0.607,97.976,0,0,0.101,0,6553.6,2552.4,2496.8,0,0,717.6,1422
1506204491,23/09/2018 22:08,0.704,0.503,98.592,0.101,0,0.101,0,4096,1455.4,1412.4,0,0,491.2,972
1506204496,23/09/2018 22:08,2.016,0.907,96.976,0,0,0.101,0,0,3450.2,4090.8,0,0,751,1486
1506204501,23/09/2018 22:08,0.707,0.404,98.687,0.101,0,0.101,0,4096,3011.8,2806.6,0,0,504.4,993
1506204506,23/09/2018 22:08,0.708,0.607,98.686,0,0,0,0,4096,1787.4,1526.8,0,0,664.6,1329
1506204511,23/09/2018 22:08,0.605,0.302,98.891,0.101,0,0.101,0,17203.2,1487.8,1466.8,0,0,442.2,868.2
1506204516,23/09/2018 22:08,1.508,1.106,97.286,0.101,0,0,0,7372.8,1590.8,1551.4,0,0,722,1426.6
1506204521,23/09/2018 22:08,0.406,0.203,99.289,0,0,0.102,0,18841.6,1896.8,1852,0,0,513.8,1005.4
