"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","docker-swarm-worker-3",,,,"User:","ubuntu"
"Cmdline:","dstat -N ens3 --output 2-cassandra-swarm-3-ContainerIPs_NET-ens3-docker-swarm-worker-3.csv --noheaders --noupdate 5",,,,"Date:","19 Sep 2017 10:59:57 UTC"

"total cpu usage",,,,,,"dsk/total",,"net/ens3",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
1.157,0.590,98.025,0.192,0.0,0.036,68883.848,230117.060,0.0,0.0,0.0,0.0,397.470,776.874
0.605,0.706,98.486,0.101,0.0,0.101,1638.400,20480.0,2675.800,2559.200,0.0,0.0,538.400,1046.600
0.606,0.404,98.788,0.101,0.0,0.101,0.0,15564.800,1944.400,1521.0,0.0,0.0,563.400,1119.600
0.304,0.405,99.291,0.0,0.0,0.0,0.0,9830.400,2452.200,1957.200,0.0,0.0,506.200,1012.600
0.906,0.705,98.288,0.0,0.0,0.101,0.0,8192.0,51694.400,51391.0,0.0,0.0,588.800,1178.800
0.303,0.606,98.990,0.101,0.0,0.0,0.0,4915.200,1794.800,1732.600,0.0,0.0,517.600,1023.600
0.908,0.505,98.385,0.101,0.0,0.101,0.0,4915.200,1652.400,1573.400,0.0,0.0,578.600,1154.400
0.606,0.202,99.192,0.0,0.0,0.0,0.0,6553.600,2144.800,2115.600,0.0,0.0,433.400,855.0
1.313,0.808,97.879,0.0,0.0,0.0,0.0,8192.0,2313.400,1824.200,0.0,0.0,578.600,1154.600
0.604,0.503,98.692,0.101,0.0,0.101,0.0,9830.400,1870.0,1855.0,0.0,0.0,490.800,967.200
0.404,0.606,98.889,0.101,0.0,0.0,0.0,12288.0,1888.200,2638.200,0.0,0.0,565.0,1114.400
0.706,0.706,98.488,0.0,0.0,0.101,0.0,0.0,1651.800,1584.400,0.0,0.0,422.400,851.0
0.506,0.607,98.888,0.0,0.0,0.0,0.0,4096.0,1699.400,1585.800,0.0,0.0,571.400,1144.400
1.007,0.705,98.187,0.101,0.0,0.0,0.0,8192.0,2785.800,2730.200,0.0,0.0,520.600,1030.400
0.508,0.203,99.289,0.0,0.0,0.0,0.0,6553.600,1978.600,1675.200,0.0,0.0,569.800,1147.0
0.404,0.303,99.091,0.101,0.0,0.101,0.0,5734.400,2024.800,1968.800,0.0,0.0,439.400,872.800
0.608,0.405,98.987,0.0,0.0,0.0,0.0,13926.400,2599.200,3343.800,0.0,0.0,595.800,1188.400
0.606,0.404,98.889,0.0,0.0,0.101,0.0,2457.600,2431.0,2199.400,0.0,0.0,499.200,992.800
0.608,0.203,98.987,0.203,0.0,0.0,0.0,8192.0,1661.0,1597.600,0.0,0.0,589.200,1180.800
1.309,0.504,98.087,0.0,0.0,0.101,0.0,9011.200,2565.400,2487.600,0.0,0.0,522.800,1041.0
0.506,0.405,98.988,0.101,0.0,0.0,0.0,4915.200,3024.400,2542.800,0.0,0.0,545.600,1104.600
0.605,0.505,98.789,0.101,0.0,0.0,0.0,6553.600,2194.600,1811.0,0.0,0.0,460.0,926.0
0.404,0.607,98.989,0.0,0.0,0.0,0.0,4915.200,1876.0,2636.800,0.0,0.0,566.200,1140.800
0.402,0.604,98.793,0.101,0.0,0.101,0.0,12288.0,2334.400,2047.400,0.0,0.0,435.400,858.600
0.607,0.303,98.888,0.101,0.0,0.101,0.0,7372.800,1672.600,1585.800,0.0,0.0,566.400,1149.800
1.010,0.606,98.283,0.0,0.0,0.101,0.0,13107.200,2354.200,2288.800,0.0,0.0,523.0,1037.200
0.605,0.505,98.083,0.706,0.0,0.101,0.0,4915.200,2261.800,1818.0,0.0,0.0,559.800,1125.400
0.804,0.603,98.492,0.0,0.0,0.101,0.0,4915.200,2673.800,2610.0,0.0,0.0,470.600,927.200
0.709,0.405,98.784,0.101,0.0,0.0,819.200,10649.600,2681.400,3416.400,0.0,0.0,618.600,1243.600
0.604,0.704,98.592,0.0,0.0,0.101,0.0,0.0,1616.600,1568.200,0.0,0.0,462.600,929.800
1.108,0.705,98.087,0.0,0.0,0.101,0.0,11468.800,1849.600,1743.800,0.0,0.0,611.400,1229.600
1.110,0.303,98.385,0.101,0.0,0.101,0.0,13926.400,2495.400,2428.600,0.0,0.0,479.400,950.400
1.515,0.404,97.980,0.0,0.0,0.101,0.0,8192.0,2033.800,1584.400,0.0,0.0,592.800,1190.800
0.603,0.603,98.593,0.101,0.0,0.101,0.0,4915.200,1881.200,1848.400,0.0,0.0,531.200,1052.400
0.404,0.505,98.990,0.0,0.0,0.101,0.0,4915.200,1441.600,2266.600,0.0,0.0,529.800,1072.0
0.404,0.505,98.991,0.0,0.0,0.101,0.0,6553.600,1866.800,1768.800,0.0,0.0,481.400,955.600
0.505,0.303,98.991,0.101,0.0,0.101,0.0,4096.0,1470.0,1407.0,0.0,0.0,495.600,1007.0
